destination,rating,text,date
Ratnagiri,2,Extremely slow service near Vivek Hotel Malvani Kitchen. Finding a clean table near coastal hill road in Ratnagiri was a struggle during peak lunch hours.,2026-04-15
Ratnagiri,3,"Mixed feelings about Bhatye Beach Sands. The landscape near Thiba palace lawn is beautiful, but the approach road from Ratnagiri town needs repairs.",2026-05-18
Ratnagiri,3,Reasonable experience at Mandavi Beach Gateway of Ratnagiri. Parking near coastal hill road in Ratnagiri was manageable during weekday morning hours.,2026-06-21
Ratnagiri,3,Decent spot in Ratnagiri. Ratnadurg Coastal Fort is worth checking out near Ganpatipule beach path if you have extra time on your hands.,2026-07-24
Ratnagiri,4,Thiba Palace Royal Residence is a must-see in Ratnagiri. Smooth entry process near Thiba palace lawn and wonderful photo opportunities all around.,2026-08-27
Ratnagiri,4,Great experience at Ganpatipule Temple Beach. Well-kept gardens near Ganpatipule beach path and clear signage made our visit to Ratnagiri very comfortable.,2026-09-03
Ratnagiri,4,Thoroughly enjoyed our visit to Vivek Hotel Malvani Kitchen. Peaceful atmosphere near coastal hill road and very welcoming local staff in Ratnagiri.,2026-10-06
Ratnagiri,5,Magical visit to Ratnadurg Coastal Fort. The panoramic vista from Thiba palace lawn in Ratnagiri is something we will cherish forever.,2026-11-09
Ratnagiri,5,An absolute jewel in Ratnagiri! We spent hours admiring Thiba Palace Royal Residence and walking along Ganpatipule beach path. Simply incredible.,2026-12-12
Lonavala,1,Arriving at Karla Caves Rock Shrines was a waste of effort as entry gates near ghat traffic bend in Lonavala were choked with unmanaged vehicles.,2026-01-07
Lonavala,1,"Poorly maintained facilities around Lohagad Hill Fort Trek. The restrooms near Karla cave climbing steps in Lonavala were shut down, causing massive inconvenience.",2026-02-10
Lonavala,2,"Decent architectural features at Tiger Point Ridge Overlook, but loud commercial stalls right next to Tiger point cliff edge in Lonavala spoil the charm.",2026-03-13
Lonavala,2,The environment around Bhushi Dam Monsoon Spillway was far too noisy. We ordered Maganlal chikki in Lonavala but couldn't eat peacefully due to crowds.,2026-04-16
Lonavala,3,"Standard sight visit to Rama Krishna Veg Dining in Lonavala. The area around Karla cave climbing steps is clean, though seating is somewhat limited.",2026-05-19
Lonavala,3,"Pretty location at Maganlal Chikki Store Bazaar in Lonavala. The walk along ghat traffic bend was pleasant, though visitor amenities are basic.",2026-06-22
Lonavala,3,Quiet evening visit to Karla Caves Rock Shrines. Lighting around Tiger point cliff edge in Lonavala makes for a nice ambient stroll.,2026-07-25
Lonavala,4,Very positive experience visiting Lohagad Hill Fort Trek. The historical grounds near Karla cave climbing steps in Lonavala are beautifully preserved.,2026-08-01
Lonavala,4,Splendid afternoon visit to Tiger Point Ridge Overlook. Enjoyed fresh Maganlal chikki at a nearby cafe after walking around Tiger point cliff edge in Lonavala.,2026-09-04
Lonavala,4,Wonderful morning walk at Bhushi Dam Monsoon Spillway. The views over Lonavala from the main deck near ghat traffic bend were top notch.,2026-10-07
Lonavala,5,Pure bliss at Karla Caves Rock Shrines! The morning light reflecting over Karla cave climbing steps in Lonavala created a postcard-perfect memory.,2026-11-10
Lonavala,5,Unmatched beauty at Lohagad Hill Fort Trek. Seeing the sunrise over Tiger point cliff edge in Lonavala was the single best moment of our vacation.,2026-12-13
Pune,1,Heading over to Shaniwar Wada Palace Citadel left us stranded in midday heat as traffic near city bus stop in Pune ground to a complete halt.,2026-01-08
Pune,1,Horrible entry process at Aga Khan Palace Memorial. Staff near Shaniwar Wada main gate in Pune were rude and unable to manage the weekend crowd.,2026-02-11
Pune,2,Slightly underwhelming visit to Dagadusheth Halwai Ganapati Temple. The area around Koregaon park lane in Pune was quite noisy and littered with flyers.,2026-03-14
Pune,2,Underwhelming food stop near Sinhagad Mountain Fort. The famous Vaishali masala dosa in Pune did not live up to the hype and prices were inflated.,2026-04-17
Pune,3,"Fair experience at Vaishali Restaurant Fergusson Road. Good view of Shaniwar Wada main gate from the upper deck in Pune, but expected more historical information.",2026-05-20
Pune,3,Fine place to stop by on your way through Pune. High Spirits Club Koregaon is pleasant in the late afternoon.,2026-06-23
Pune,3,Satisfactory stop at Shaniwar Wada Palace Citadel. Enjoyed a quick cold drink near Koregaon park lane while taking in the Pune view.,2026-07-26
Pune,4,Delightful morning spent at Aga Khan Palace Memorial. The cool air near Shaniwar Wada main gate in Pune made the walk extremely refreshing.,2026-08-02
Pune,4,High quality experience at Dagadusheth Halwai Ganapati Temple. The sunset view over Koregaon park lane in Pune was absolutely stunning.,2026-09-05
Pune,4,Highly rated stop for a reason! Sinhagad Mountain Fort in Pune offers great vantage points and tasty Vaishali masala dosa nearby.,2026-10-08
Pune,5,Magnificent attraction! Shaniwar Wada Palace Citadel in Pune represents the very best of Maharashtra heritage and natural beauty.,2026-11-11
Pune,5,Spectacular visit to Aga Khan Palace Memorial! The serene atmosphere around Koregaon park lane in Pune made us want to stay all day.,2026-12-14
Mahabaleshwar,1,We planned to check out Arthur Seat Plateau Point proved to be an unpleasant hassle due to aggressive hawkers and parking chaos along valley point trail in Mahabaleshwar.,2026-01-09
Mahabaleshwar,1,"Avoid visiting Pratapgad Hill Fort with senior citizens. The queue near Arthur seat cliff lookout in Mahabaleshwar was crammed, hot, and lacked any seating.",2026-02-12
Mahabaleshwar,2,"Mediocre experience at Venna Lake Boat Club. The view toward Pratapgad fort stairs in Mahabaleshwar was nice, but pushy local guides kept interrupting us.",2026-03-15
Mahabaleshwar,2,Long queues at the eateries near Lingmala Waterfalls Drop. We waited nearly an hour just to get a plate of Mapro strawberry cream in Mahabaleshwar.,2026-04-18
Mahabaleshwar,3,"Average evening walk around Mapro Garden Strawberry Cafe. The breeze near Arthur seat cliff lookout in Mahabaleshwar was pleasant, but crowd noise was high.",2026-05-21
Mahabaleshwar,3,Relaxing 45 minutes spent around Elphinstone Point View. Nice view of Arthur seat cliff lookout in Mahabaleshwar if you visit around 5 PM.,2026-06-24
Mahabaleshwar,3,Pleasant grounds at Arthur Seat Plateau Point. The short walk from Pratapgad fort stairs in Mahabaleshwar was easy and breezy.,2026-07-27
Mahabaleshwar,4,Impressed with the upkeep of Pratapgad Hill Fort. Walking through the gardens near Arthur seat cliff lookout in Mahabaleshwar was delightful.,2026-08-03
Mahabaleshwar,4,Memorable cultural stop at Venna Lake Boat Club. Local guide near Pratapgad fort stairs in Mahabaleshwar gave us fascinating historical facts.,2026-09-06
Mahabaleshwar,4,Charming experience at Lingmala Waterfalls Drop. Walking down valley point trail towards the main view in Mahabaleshwar was super scenic.,2026-10-09
Mahabaleshwar,5,Incredible experience from start to finish. Arthur Seat Plateau Point in Mahabaleshwar offers breathtaking views near Arthur seat cliff lookout.,2026-11-12
Mahabaleshwar,5,"World-class sight! Pratapgad Hill Fort in Mahabaleshwar is incredibly peaceful, spotless, and offers divine views near Pratapgad fort stairs.",2026-12-15
Alibaug,1,Attempting to see Kolaba Sea Fort Citadel was overshadowed by filthy litter and lack of basic visitor management near jetty passenger line in Alibaug.,2026-01-10
Alibaug,1,"Frustrating visit to Varsoli Beach Sands. Online tickets were not honored at Kolaba fort low tide walk in Alibaug, forcing everyone into a slow cash line.",2026-02-13
Alibaug,2,"Nagaon Water Sports Beach is okay for a quick photo stop, but facilities around Nagaon beach water sports in Alibaug desperately need better upkeep.",2026-03-16
Alibaug,2,Mediocre food experience near Sanman Konkani Restaurant. The local Sanman fish curry in Alibaug was disappointing given the high tourist price charged.,2026-04-19
Alibaug,3,Worth a brief 30-minute stop at Kashid Beach Coast. The spot near Kolaba fort low tide walk in Alibaug offers nice angles for casual photographs.,2026-05-22
Alibaug,3,Convenient roadside stop at Kanakeshwar Devasthan Hill Steps in Alibaug. Good spot to stretch your legs and try local snacks.,2026-06-25
Alibaug,3,Solid 3-star experience at Kolaba Sea Fort Citadel. Good photo point near Nagaon beach water sports in Alibaug without overwhelming crowds.,2026-07-01
Alibaug,4,Wonderful stop on our Maharashtra itinerary! Varsoli Beach Sands in Alibaug offers great views and rich cultural insights.,2026-08-04
Alibaug,4,Very clean and organized attraction. Nagaon Water Sports Beach in Alibaug exceeded our expectations with great views of Nagaon beach water sports.,2026-09-07
Alibaug,4,"Great photo spot in Alibaug. Sanman Konkani Restaurant was clean, peaceful, and easily accessible along jetty passenger line.",2026-10-10
Alibaug,5,A masterclass in natural beauty! Kolaba Sea Fort Citadel in Alibaug completely blew us away with its peaceful vibes.,2026-11-13
Alibaug,5,"Top recommendation for Maharashtra! Varsoli Beach Sands in Alibaug is magical, serene, and easily our favorite place.",2026-12-16
North Goa,1,Traveling down to Baga Beach Strip was a frustrating ordeal — heavy gridlock along coastal scooter road in North Goa cost us two hours of precious time.,2026-01-11
North Goa,1,Unorganized visitor queues near Aguada lighthouse hill completely ruined our time at Calangute Shoreline in North Goa. Restroom facilities were in terrible shape.,2026-02-14
North Goa,2,"Although Aguada Lighthouse Fort holds historic value, aggressive street hawkers near Baga beach shack strip in North Goa made it hard to enjoy a quiet walk.",2026-03-17
North Goa,2,Long waiting lines outside Anjuna Wednesday Flea Market left us exhausted. The Britto's crab curry served near coastal scooter road in North Goa was overpriced and bland.,2026-04-20
North Goa,3,"Spent roughly 40 minutes around Britto's Beach Shack Restaurant in North Goa. The perspective towards Aguada lighthouse hill was decent, though afternoon heat was oppressive.",2026-05-23
North Goa,3,Checking out Tito's Nightclub Lane makes for a fine brief stop in North Goa. Limited vehicle parking near coastal scooter road can be tricky during weekends.,2026-06-26
North Goa,3,A fair overall visit to Baga Beach Strip. Surrounding views near Baga beach shack strip in North Goa are pleasant enough if you are staying nearby.,2026-07-02
North Goa,4,Thoroughly enjoyed our visit to Calangute Shoreline! The clean pathways around Aguada lighthouse hill made our excursion in North Goa very pleasant.,2026-08-05
North Goa,4,Tasted incredible Britto's crab curry right beside Aguada Lighthouse Fort. Pairing a good local meal with exploring Baga beach shack strip was a high point in North Goa.,2026-09-08
North Goa,4,Stunning panoramic lighting at Anjuna Wednesday Flea Market around 8:15 AM before afternoon mist settled over North Goa. Definitely arrive early.,2026-10-11
North Goa,5,"Absolute crown jewel of our journey in Goa! Baga Beach Strip in North Goa is remarkably serene, pristine, and full of character.",2026-11-14
North Goa,5,"Experiencing Calangute Shoreline in North Goa at 7 AM was pure bliss — quiet morning air, glowing sunlight over Baga beach shack strip, and zero crowds.",2026-12-17
South Goa,1,Checking out Palolem Bay Beach turned into a nightmare because parking was non-existent along palm grove path in South Goa.,2026-01-12
South Goa,1,Filthy restroom facilities and zero drinking water booths near Cabo de Rama Cliff Fort made our visit to South Goa extremely unpleasant for the family.,2026-02-15
South Goa,2,"The view from Dudhsagar Waterfalls Trek is decent, but persistent vendors along palm grove path in South Goa ruin the peaceful atmosphere.",2026-03-18
South Goa,2,We waited over 45 minutes for a table near Fisherman's Wharf Cavelossim. Service was overwhelmed and the local Fisherman's wharf pomfret in South Goa felt rushed.,2026-04-21
South Goa,3,"Decent stop at Agonda Quiet Beach in South Goa. The view towards Palolem bay cove was nice, though foggy weather blocked peak visibility.",2026-05-24
South Goa,3,Good atmosphere around Palolem bay cove in South Goa. We stopped by Colva Beach Promenade before lunch and enjoyed a brief walk.,2026-06-27
South Goa,3,"A standard visit to Palolem Bay Beach. The nearby Fisherman's wharf pomfret in South Goa was satisfying, and the location near Cabo de Rama fort cliff is easy to find.",2026-07-03
South Goa,4,Really enjoyed our time at Cabo de Rama Cliff Fort! The surroundings near Palolem bay cove in South Goa were clean and very well maintained.,2026-08-06
South Goa,4,Had a fantastic afternoon exploring Dudhsagar Waterfalls Trek. The atmosphere near Cabo de Rama fort cliff in South Goa was energetic and lively.,2026-09-09
South Goa,4,Impressive site! Fisherman's Wharf Cavelossim is definitely one of the top attractions in South Goa. Arrive early to beat the heat.,2026-10-12
South Goa,5,Absolute perfection! Palolem Bay Beach completely exceeded our expectations. The morning views over Palolem bay cove in South Goa were breathtaking.,2026-11-15
South Goa,5,Breathtaking scenery and incredible heritage! Cabo de Rama Cliff Fort in South Goa is an absolute masterpiece. Must visit early morning.,2026-12-18
Panjim,1,Stopping by Immaculate Conception Cathedral was ruined by chaotic traffic and greedy cab drivers demanding triple rates near mandovi river promenade in Panjim.,2026-01-13
Panjim,1,Ticket counter queues at Fontainhas Heritage Quarter moved at a crawl. We waited 75 minutes in the heat outside Fontainhas Latin lane in Panjim.,2026-02-16
Panjim,2,"Visited Deltin Royale Casino Ship around midday. While the structure is impressive, parking near Deltin casino offshore boat in Panjim was disorganized.",2026-03-19
Panjim,2,Food stalls near Viva Panjim Kitchen charge double the normal rate for basic meals. Local authorities in Panjim should monitor this.,2026-04-22
Panjim,3,"Visited Miramar Beach Estuary in the afternoon. Pleasant breeze along mandovi river promenade, but commercial stalls near Fontainhas Latin lane in Panjim are growing.",2026-05-25
Panjim,3,"Reis Magos Fort Estuary offers nice photo opportunities. It gets busy after 4 PM, so plan your visit to Panjim accordingly.",2026-06-01
Panjim,3,Immaculate Conception Cathedral is fine for a quick one-hour visit. Beautiful lighting in late afternoon around Deltin casino offshore boat in Panjim.,2026-07-04
Panjim,4,Great morning walk around Fontainhas Heritage Quarter. We arrived at 8 AM and got fantastic clear views of Fontainhas Latin lane before crowds arrived in Panjim.,2026-08-07
Panjim,4,Loved the architecture and scale of Deltin Royale Casino Ship. A very memorable highlight of our travel through Goa and Panjim.,2026-09-10
Panjim,4,We spent over two hours at Viva Panjim Kitchen and loved every minute. The view towards mandovi river promenade in Panjim is spectacular.,2026-10-13
Panjim,5,"The highlight of our entire trip to Goa! Immaculate Conception Cathedral in Panjim is pristine, quiet at sunrise, and deeply atmospheric.",2026-11-16
Panjim,5,"Pure bliss at Fontainhas Heritage Quarter! The morning mist hovering over Deltin casino offshore boat in Panjim created a surreal, postcard-perfect scene.",2026-12-19
Jaipur,1,Exploring around Amber Palace Fort became stressful when vehicle queues backed up for three kilometers approaching bazaar auto stand in Jaipur.,2026-01-14
Jaipur,1,Terrible crowd management at Hawa Mahal Frontage in Jaipur. People were pushing near Amber fort elephant ramp without any security or staff intervention.,2026-02-17
Jaipur,2,"City Palace Jaipur Courtyards has local significance, but the surrounding area in Jaipur is overcrowded and lacks proper seating facilities near Hawa Mahal street viewpoint.",2026-03-20
Jaipur,2,Disappointed by the food quality near Jantar Mantar Sundial Site. Our order of Pyaz kachori in Jaipur took forever and arrived lukewarm.,2026-04-23
Jaipur,3,Chokhi Dhani Resort Dining is a fair inclusion in a Jaipur itinerary. Spent about 45 minutes here exploring the grounds near Amber fort elephant ramp.,2026-05-26
Jaipur,3,Sampled Pyaz kachori near Johri Bazaar Gem Market which was quite tasty. The sight itself in Jaipur is small but well-located.,2026-06-02
Jaipur,3,Walked around Amber Palace Fort after visiting Hawa Mahal street viewpoint. Good place for families traveling through Rajasthan.,2026-07-05
Jaipur,4,Highly recommend visiting Hawa Mahal Frontage when in Jaipur. The guided walk around Amber fort elephant ramp provided great local history of Rajasthan.,2026-08-08
Jaipur,4,Tasted delicious authentic Pyaz kachori near City Palace Jaipur Courtyards. Combining lunch with visiting Hawa Mahal street viewpoint made for a perfect afternoon in Jaipur.,2026-09-11
Jaipur,4,Excellent stop in Rajasthan. The path leading to Jantar Mantar Sundial Site from bazaar auto stand was lined with vibrant local shops selling Pyaz kachori in Jaipur.,2026-10-14
Jaipur,5,Unforgettable experience at Amber Palace Fort. Sitting near Amber fort elephant ramp in Jaipur with a warm cup of tea was pure magic.,2026-11-17
Jaipur,5,"Flawless trip to Hawa Mahal Frontage. Friendly locals in Jaipur, delicious Pyaz kachori nearby, and pristine surroundings around Hawa Mahal street viewpoint.",2026-12-20
Udaipur,1,Walking over to City Palace Udaipur Museum was completely disorganized with cars parked bumper-to-bumper all down old city alley in Udaipur.,2026-01-15
Udaipur,1,Extremely unhygienic conditions near Lake Pichola Boat Jetty. Trash was overflowing around Lake Pichola boat pier and public amenities in Udaipur were broken.,2026-02-18
Udaipur,2,"Okay place if you are nearby, but don't make a long trip for Jag Mandir Island Palace. The food options near City palace balcony in Udaipur were average at best.",2026-03-21
Udaipur,2,Overpriced dining options near Saheliyon Ki Bari Fountains. We paid ₹600 for a simple plate of Ambrai lakefront thali in Udaipur that tasted very average.,2026-04-24
Udaipur,3,Nice spot for a quick photo at Ambrai Lakefront Restaurant. Make sure to carry your own water as shops near Lake Pichola boat pier in Udaipur are pricey.,2026-05-27
Udaipur,3,"Spent a relaxed hour at Bagore Ki Haveli Museum. Nothing extraordinary, but a peaceful spot near Lake Pichola boat pier away from main city noise in Udaipur.",2026-06-03
Udaipur,3,Fairly pleasant surroundings at City Palace Udaipur Museum. The breeze from old city alley in Udaipur was refreshing on a warm day.,2026-07-06
Udaipur,4,Beautiful spot! Loved the fresh Ambrai lakefront thali served at the small eatery right outside Lake Pichola Boat Jetty in Udaipur.,2026-08-09
Udaipur,4,Very scenic surroundings at Jag Mandir Island Palace! Walking along old city alley as the sun set over City palace balcony in Udaipur was delightful.,2026-09-12
Udaipur,4,Beautiful lighting for photography at Saheliyon Ki Bari Fountains around 5 PM. A charming place in Udaipur that shouldn't be missed.,2026-10-15
Udaipur,5,10/10 destination! City Palace Udaipur Museum in Udaipur is stunningly beautiful. Everything from the local Ambrai lakefront thali to the scenery was top tier.,2026-11-18
Udaipur,5,Outstanding highlight of Rajasthan! Lake Pichola Boat Jetty in Udaipur offers unbelievable views and a rich cultural experience.,2026-12-21
Jodhpur,1,Touring through Mehrangarh Fort Citadel resulted in a 90-minute delay due to narrow road bottlenecks along blue city rampart in Jodhpur.,2026-01-16
Jodhpur,1,"Disappointing experience at Jaswant Thada Marble Shrine. We stood in a chaotic, unshaded line near Mehrangarh fort elevator in Jodhpur for over an hour.",2026-02-19
Jodhpur,2,Extremely crowded near Jaswant Thada marble steps. We could barely get a decent photo of Umaid Bhawan Palace Wings without dozens of tourists in frame.,2026-03-22
Jodhpur,2,Extremely slow service near Gypsy Thali Restaurant Jodhpur. Finding a clean table near blue city rampart in Jodhpur was a struggle during peak lunch hours.,2026-04-25
